# This is part of the ZUD Plugin for Pokemon Essentials v19.1
#
# This adds or changes species' Habitat data to allow for more thorough filtering options for Max Raids and in the Max Raid Database.
# This is a completely optional file, and isn't necessary to include.
# This file will automatically be deleted after compiling.
#-----------------------
# Unique Cases
#-----------------------
# Changed from Mountain
#-----------------------
MANKEY = Forest          
PRIMEAPE = Forest
#-----------------------
# Changed from RoughTerrain
#-----------------------
MAGNEMITE = Urban        
MAGNETON = Urban
#-----------------------
# Changed from Rare
#-----------------------
ARTICUNO = Cave              
ZAPDOS = Urban
MOLTRES = Mountain
MEWTWO = Cave
LUGIA = Sea
#-----------------------
# Changed from Forest
#-----------------------
SKITTY = Urban                
DELCATTY = Urban
#-----------------------
# Changed from Grassland
#-----------------------
CASTFORM = Mountain            
CHIMECHO = Urban
#-----------------------
# Alolan Forms
# Habitat differs from their base form.
#-----------------------
RAICHU_1 = WatersEdge    
SANDSHREW_1 = Mountain   
SANDSLASH_1 = Mountain
#-----------------------
# Galarian Forms
# Habitat differs from their base form.
#-----------------------
PONYTA_1 = Forest        
RAPIDASH_1 = Forest
ARTICUNO_1 = Grassland
ZAPDOS_1 = Grassland
MOLTRES_1 = Grassland
DARUMAKA_1 = Mountain
DARMANITAN_1 = Mountain
STUNFISK_1 = Cave
#-----------------------
# Ultra Beasts
# New habitat added exclusively for these species.
#-----------------------
BUZZWOLE = UltraSpace
PHEROMOSA = UltraSpace
XURKITREE = UltraSpace
CELESTEELA = UltraSpace
KARTANA = UltraSpace
GUZZLORD = UltraSpace
POIPOLE = UltraSpace
NAGANADEL = UltraSpace
STAKATAKA = UltraSpace 
BLACEPHALON = UltraSpace
#-----------------------
# Gen 8 Fossils
# Purposely have no habitat, as they are freaks of nature and can't survive anywhere lol.
#-----------------------
DRACOZOLT = None
ARCTOZOLT = None
DRACOVISH = None
ARCTOVISH = None

#-------------------------------
# Canon Habitats of Gen 1 species.
#-------------------------------
BULBASAUR = Grassland
IVYSAUR = Grassland
VENUSAUR = Grassland
CHARMANDER = Mountain
CHARMELEON = Mountain
CHARIZARD = Mountain
SQUIRTLE = WatersEdge
WARTORTLE = WatersEdge
BLASTOISE = WatersEdge
CATERPIE = Forest
METAPOD = Forest
BUTTERFREE = Forest
WEEDLE = Forest
KAKUNA = Forest
BEEDRILL = Forest
PIDGEY = Forest
PIDGEOTTO = Forest
PIDGEOT = Forest
RATTATA = Grassland
RATICATE = Grassland
SPEAROW = RoughTerrain
FEAROW = RoughTerrain
EKANS = Grassland
ARBOK = Grassland
PIKACHU = Forest
RAICHU = Forest
SANDSHREW = RoughTerrain
SANDSLASH = RoughTerrain
NIDORANfE = Grassland
NIDORINA = Grassland
NIDOQUEEN = Grassland
NIDORANmA = Grassland
NIDORINO = Grassland
NIDOKING = Grassland
CLEFAIRY = Mountain
CLEFABLE = Mountain
VULPIX = Grassland
NINETALES = Grassland
JIGGLYPUFF = Grassland
WIGGLYTUFF = Grassland
ZUBAT = Cave
GOLBAT = Cave
ODDISH = Grassland
GLOOM = Grassland
VILEPLUME = Grassland
PARAS = Forest
PARASECT = Forest
VENONAT = Forest
VENOMOTH = Forest
DIGLETT = Cave
DUGTRIO = Cave
MEOWTH = Urban
PERSIAN = Urban
PSYDUCK = WatersEdge
GOLDUCK = WatersEdge
GROWLITHE = Grassland
ARCANINE = Grassland
POLIWAG = WatersEdge
POLIWHIRL = WatersEdge
POLIWRATH = WatersEdge
ABRA = Urban
KADABRA = Urban
ALAKAZAM = Urban
MACHOP = Mountain
MACHOKE = Mountain
MACHAMP = Mountain
BELLSPROUT = Forest
WEEPINBELL = Forest
VICTREEBEL = Forest
TENTACOOL = Sea
TENTACRUEL = Sea
GEODUDE = Mountain
GRAVELER = Mountain
GOLEM = Mountain
PONYTA = Grassland
RAPIDASH = Grassland
SLOWPOKE = WatersEdge
SLOWBRO = WatersEdge
FARFETCHD = Grassland
DODUO = Grassland
DODRIO = Grassland
SEEL = Sea
DEWGONG = Sea
GRIMER = Urban
MUK = Urban
SHELLDER = Sea
CLOYSTER = Sea
GASTLY = Cave
HAUNTER = Cave
GENGAR = Cave
ONIX = Cave
DROWZEE = Grassland
HYPNO = Grassland
KRABBY = WatersEdge
KINGLER = WatersEdge
VOLTORB = Urban
ELECTRODE = Urban
EXEGGCUTE = Forest
EXEGGUTOR = Forest
CUBONE = Mountain
MAROWAK = Mountain
HITMONLEE = Urban
HITMONCHAN = Urban
LICKITUNG = Grassland
KOFFING = Urban
WEEZING = Urban
RHYHORN = RoughTerrain
RHYDON = RoughTerrain
CHANSEY = Urban
TANGELA = Grassland
KANGASKHAN = Grassland
HORSEA = Sea
SEADRA = Sea
GOLDEEN = WatersEdge
SEAKING = WatersEdge
STARYU = Sea
STARMIE = Sea
MRMIME = Urban
SCYTHER = Grassland
JYNX = Urban
ELECTABUZZ = Grassland
MAGMAR = Mountain
PINSIR = Forest
TAUROS = Grassland
MAGIKARP = WatersEdge
GYARADOS = WatersEdge
LAPRAS = Sea
DITTO = Urban
EEVEE = Urban
VAPOREON = Urban
JOLTEON = Urban
FLAREON = Urban
PORYGON = Urban
OMANYTE = Sea
OMASTAR = Sea
KABUTO = Sea
KABUTOPS = Sea
