Snivy (Grass)
Servine (Grass/Fairy)
Serperior (Grass/Fairy)
Chimchar (Fire)
Monferno (Fire/Steel)
Infernape (Fire/Steel)
Mudkip (Water)
Marshtomp (Water/Fighting)
Swampert (Water/Fighting)
Bidoof (Normal)
Bibarel (Normal/Water)
Buizel (Dark)
Floatzel (Dark)
Hoothoot (Normal/Flying)
Noctowl (Normal/Flying)
Natu (Psychic/Flying)
Xatu (Psychic/Flying)
Yanma (Bug/Flying)
Yanmega (Bug/Flying)
Swaddle (Bug/Grass)
Swadloon (Bug/Grass)
Leavanny (Bug/Grass)
Foongus (Grass/Poison)
Amoonguss (Grass/Poison)
Emolga (Electric/Flying)
Darumaka (Fighting)
Darmanislam (Fighting)
Mienfoo (Fighting)
Mienshao (Fighting)
Deerling (Normal/Grass)
Sawsbuck (Normal/Grass)
Ralts (Psychic/Dark)
Kirlia (Psychic/Dark)
Gardevoir (Psychic/Dark)
Gallade (Fighting/Dark)
Zorua (Dark)
Zoroark (Dark)
Cleffa (Fairy)
Clefairy (Fairy)
Clefable (Fairy)
Sandshrew (Ground)
Sandslash (Ground)
Gligar (Ground/Flying)
Gliscor (Ground/Flying)
Dunsparce (Normal)
Numel (Fire/Ground)
Camerupt (Fire/Ground)
Roggenrola (Rock)
Boldore (Rock)
Gigalith (Rock)
Dwebble (Rock/Bug)
Crustle (Rock/Bug)
Drilbur (Ground)
Excadrill (Ground/Steel)
Tynamo (Electric)
Eelektrik (Electric)
Eelektross (Electric)
Plusle (Electric/Fairy)
Minun (Electric/Poison)
Togepi (Fairy)
Togetic (Fairy/Flying)
Togekiss (Fairy/Flying)
Houndour (Dark/Fire)
Houndoom (Dark/Fire)
Ponyta (Fire)
Rapidash (Fire)
Nidoran (Poison)
Nidorina (Poison)
Nidoqueen (Poison/Ground)
Nidoran (Poison)
Nidorino (Poison)
Nidoking (Poison/Ground)
Trubbish (Poison/Grass)
Garbodor (Poison/Grass)
Stantler (Normal)
Wyrdeer (Normal/Psychic)
Heracross (Bug/Fighting)
Pinsir (Bug)
Combee (Bug/Flying)
Vespiquen (Bug/Flying)
Minchino (Normal)
Chinchino (Normal)
Tauros (Normal)
Miltank (Normal)
Seviper (Poison)
Zangoose (Normal)
Azurill (Normal/Flying)
Marill (Water/Flying)
Azumarill (Water/Flying)
Chinchou (Water/Electric)
Lanturn (Water/Electric)
Basculin (Water)
Basculegion (Water/Ghost)
Poliwag (Water)
Poliwhirl (Water)
Poliwrath (Water/Fighting)
Politoed (Water)
Corphish (Water)
Crawdaunt (Water/Dark)
Spiritomb (Water/Ghost)
Snubbull (Ice)
Granbull (Ice)
Cubchoo (Ice)
Beartic (Ice)
Sneasel (Dark/Ice)
Weavile (Dark/Ice)
Cryogonal (Ice)
Swinub (Ice/Ground)
Piloswine (Ice/Ground)
Mamoswine (Ice/Ground)
Relicanth (Water/Ice)
Luvdisc (Water/Fairy)
Alomomola (Water/Fairy)
Audino (Normal)
Kangaskhan (Normal)
Lunatone (Rock/Psychic)
Solrock (Rock/Psychic)
Nosepass (Rock)
Probopass (Rock/Steel)
Unown (Psychic)
Cranidos (Dragon)
Rampardos (Dragon)
Shieldon (Steel/Ground)
Bastiodon (Steel/Ground)
Duskull (Ghost)
Dusclops (Ghost)
Dusknoir (Ghost)
Litwick (Ghost/Fire)
Lampent (Ghost/Fire)
Chandelure (Ghost/Fire)
Golett (Steel)
Golurk (Steel)
Durant (Bug)
Heatmor (Grass/Psychic)
Deino (Dragon/Dark)
Zweilous (Dragon/Dark)
Hydreigon (Dragon/Dark)
Gible (Dragon/Ground)
Gabite (Dragon/Ground)
Garchomp (Dragon/Ground)
Druddigon (Dragon)
Tornadus (Flying)
Thundurus (Electric/Flying)
Enamorus (Fairy/Flying)
Landorus (Ground/Flying)
Heatran (Fire/Rock)
Jirachi (Steel/Psychic)
Celebi (Grass/Psychic)
Meloetta (Normal/Psychic)
Manaphy (Water)
Phione (Water)
Lotad (Grass/Ghost)
